mode,group,modality,key,channel,path,label
default,train,audio,train_0,1,train/CD1/TIDIGITS/TRAIN/WOMAN/BR/3OA.WAV.wav,30
default,train,audio,train_1,2,train/CD1/TIDIGITS/TRAIN/WOMAN/AG/7Z5A.WAV.wav,705
default,train,audio,train_2,1,train/CD1/TIDIGITS/TRAIN/WOMAN/LS/OA.WAV.wav,0
default,train,audio,train_3,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JJ/245ZZ85A.WAV.wav,2450085
default,train,audio,train_4,1,train/CD1/TIDIGITS/TRAIN/MAN/PI/45Z6Z47A.WAV.wav,4506047
default,train,audio,train_5,2,train/CD1/TIDIGITS/TRAIN/WOMAN/PE/8B.WAV.wav,8
default,train,audio,train_6,1,train/CD1/TIDIGITS/TRAIN/WOMAN/NH/77A.WAV.wav,77
default,train,audio,train_7,2,train/CD1/TIDIGITS/TRAIN/WOMAN/MK/74595A.WAV.wav,74595
default,train,audio,train_8,1,train/CD1/TIDIGITS/TRAIN/MAN/DL/96A.WAV.wav,96
default,train,audio,train_9,2,train/CD1/TIDIGITS/TRAIN/MAN/FD/8311Z18A.WAV.wav,8311018
default,train,audio,train_10,1,train/CD1/TIDIGITS/TRAIN/MAN/CR/O1A.WAV.wav,01
default,train,audio,train_11,2,train/CD1/TIDIGITS/TRAIN/MAN/JR/7B.WAV.wav,7
default,train,audio,train_12,1,train/CD1/TIDIGITS/TRAIN/WOMAN/LD/O5OA.WAV.wav,050
default,train,audio,train_13,2,train/CD1/TIDIGITS/TRAIN/MAN/BD/5A.WAV.wav,5
default,train,audio,train_14,1,train/CD1/TIDIGITS/TRAIN/MAN/IT/2A.WAV.wav,2
default,train,audio,train_15,2,train/CD1/TIDIGITS/TRAIN/MAN/EL/61O6875A.WAV.wav,6106875
default,train,audio,train_16,1,train/CD1/TIDIGITS/TRAIN/WOMAN/AI/435A.WAV.wav,435
default,train,audio,train_17,2,train/CD1/TIDIGITS/TRAIN/WOMAN/RA/5B.WAV.wav,5
default,train,audio,train_18,1,train/CD1/TIDIGITS/TRAIN/WOMAN/HG/O6OOO15A.WAV.wav,0600015
default,train,audio,train_19,2,train/CD1/TIDIGITS/TRAIN/MAN/GJ/29A.WAV.wav,29
default,train,audio,train_20,1,train/CD1/TIDIGITS/TRAIN/WOMAN/JJ/755Z1A.WAV.wav,75501
default,train,audio,train_21,2,train/CD1/TIDIGITS/TRAIN/MAN/BD/3645188A.WAV.wav,3645188
default,train,audio,train_22,1,train/CD1/TIDIGITS/TRAIN/MAN/NW/8A.WAV.wav,8
default,train,audio,train_23,2,train/CD1/TIDIGITS/TRAIN/MAN/LH/OO1O714A.WAV.wav,0010714
default,train,audio,train_24,1,train/CD1/TIDIGITS/TRAIN/MAN/IE/55A.WAV.wav,55
default,train,audio,train_25,2,train/CD1/TIDIGITS/TRAIN/WOMAN/KN/O9OO6A.WAV.wav,09006
default,train,audio,train_26,1,train/CD1/TIDIGITS/TRAIN/WOMAN/DG/29A.WAV.wav,29
default,train,audio,train_27,2,train/CD1/TIDIGITS/TRAIN/MAN/HH/2972A.WAV.wav,2972
default,train,audio,train_28,1,train/CD1/TIDIGITS/TRAIN/MAN/AW/498A.WAV.wav,498
default,train,audio,train_29,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/Z9Z7818A.WAV.wav,0907818
default,train,audio,train_30,1,train/CD1/TIDIGITS/TRAIN/MAN/DL/9B.WAV.wav,9
default,train,audio,train_31,2,train/CD1/TIDIGITS/TRAIN/MAN/FJ/6B.WAV.wav,6
default,train,audio,train_32,1,train/CD1/TIDIGITS/TRAIN/MAN/NF/23OA.WAV.wav,230
default,train,audio,train_33,2,train/CD1/TIDIGITS/TRAIN/WOMAN/EC/819A.WAV.wav,819
default,train,audio,train_34,1,train/CD1/TIDIGITS/TRAIN/WOMAN/IL/617Z7A.WAV.wav,61707
default,train,audio,train_35,2,train/CD1/TIDIGITS/TRAIN/MAN/PD/4Z96ZA.WAV.wav,40960
default,train,audio,train_36,1,train/CD1/TIDIGITS/TRAIN/MAN/IF/178A.WAV.wav,178
default,train,audio,train_37,2,train/CD1/TIDIGITS/TRAIN/MAN/FI/6296O93A.WAV.wav,6296093
default,train,audio,train_38,1,train/CD1/TIDIGITS/TRAIN/MAN/JT/8A.WAV.wav,8
default,train,audio,train_39,2,train/CD1/TIDIGITS/TRAIN/WOMAN/RE/24OA.WAV.wav,240
default,train,audio,train_40,1,train/CD1/TIDIGITS/TRAIN/MAN/RF/4Z2ZA.WAV.wav,4020
default,train,audio,train_41,2,train/CD1/TIDIGITS/TRAIN/MAN/CR/96662A.WAV.wav,96662
default,train,audio,train_42,1,train/CD1/TIDIGITS/TRAIN/WOMAN/JP/22A.WAV.wav,22
default,train,audio,train_43,2,train/CD1/TIDIGITS/TRAIN/WOMAN/BH/315A.WAV.wav,315
default,train,audio,train_44,1,train/CD1/TIDIGITS/TRAIN/MAN/FL/735A.WAV.wav,735
default,train,audio,train_45,2,train/CD1/TIDIGITS/TRAIN/MAN/EL/OA.WAV.wav,0
default,train,audio,train_46,1,train/CD1/TIDIGITS/TRAIN/MAN/AL/O5A.WAV.wav,05
default,train,audio,train_47,2,train/CD1/TIDIGITS/TRAIN/WOMAN/PP/6B.WAV.wav,6
default,train,audio,train_48,1,train/CD1/TIDIGITS/TRAIN/WOMAN/JN/44A.WAV.wav,44
default,train,audio,train_49,2,train/CD1/TIDIGITS/TRAIN/WOMAN/ES/63A.WAV.wav,63
default,train,audio,train_50,1,train/CD1/TIDIGITS/TRAIN/MAN/NE/29A.WAV.wav,29
default,train,audio,train_51,2,train/CD1/TIDIGITS/TRAIN/MAN/MB/1B.WAV.wav,1
default,train,audio,train_52,1,train/CD1/TIDIGITS/TRAIN/WOMAN/EC/88728A.WAV.wav,88728
default,train,audio,train_53,2,train/CD1/TIDIGITS/TRAIN/WOMAN/MS/46O89A.WAV.wav,46089
default,train,audio,train_54,1,train/CD1/TIDIGITS/TRAIN/MAN/NW/98Z1A.WAV.wav,9801
default,train,audio,train_55,2,train/CD1/TIDIGITS/TRAIN/MAN/HN/1O6OO44A.WAV.wav,1060044
default,train,audio,train_56,1,train/CD1/TIDIGITS/TRAIN/WOMAN/PK/9413O3OA.WAV.wav,9413030
default,train,audio,train_57,2,train/CD1/TIDIGITS/TRAIN/WOMAN/HP/3B.WAV.wav,3
default,train,audio,train_58,1,train/CD1/TIDIGITS/TRAIN/MAN/GR/5B.WAV.wav,5
default,train,audio,train_59,2,train/CD1/TIDIGITS/TRAIN/WOMAN/MS/2996911A.WAV.wav,2996911
default,train,audio,train_60,1,train/CD1/TIDIGITS/TRAIN/WOMAN/EK/Z51ZA.WAV.wav,0510
default,train,audio,train_61,2,train/CD1/TIDIGITS/TRAIN/WOMAN/NH/6OA.WAV.wav,60
default,train,audio,train_62,1,train/CD1/TIDIGITS/TRAIN/WOMAN/RS/9Z3A.WAV.wav,903
default,train,audio,train_63,2,train/CD1/TIDIGITS/TRAIN/MAN/LH/67A.WAV.wav,67
default,train,audio,train_64,1,train/CD1/TIDIGITS/TRAIN/MAN/RD/796ZA.WAV.wav,7960
default,train,audio,train_65,2,train/CD1/TIDIGITS/TRAIN/WOMAN/RP/4B.WAV.wav,4
default,train,audio,train_66,1,train/CD1/TIDIGITS/TRAIN/MAN/LH/9B.WAV.wav,9
default,train,audio,train_67,2,train/CD1/TIDIGITS/TRAIN/WOMAN/RA/4461O84A.WAV.wav,4461084
default,train,audio,train_68,1,train/CD1/TIDIGITS/TRAIN/MAN/GJ/78A.WAV.wav,78
default,train,audio,train_69,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/8A.WAV.wav,8
default,train,audio,train_70,1,train/CD1/TIDIGITS/TRAIN/WOMAN/PE/OB.WAV.wav,0
default,train,audio,train_71,2,train/CD1/TIDIGITS/TRAIN/MAN/CR/6A.WAV.wav,6
default,train,audio,train_72,1,train/CD1/TIDIGITS/TRAIN/MAN/IT/Z2465A.WAV.wav,02465
default,train,audio,train_73,2,train/CD1/TIDIGITS/TRAIN/MAN/MH/69O72OOA.WAV.wav,6907200
default,train,audio,train_74,1,train/CD1/TIDIGITS/TRAIN/MAN/NE/49ZZA.WAV.wav,4900
default,train,audio,train_75,2,train/CD1/TIDIGITS/TRAIN/MAN/CR/32A.WAV.wav,32
default,train,audio,train_76,1,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/99OO1A.WAV.wav,99001
default,train,audio,train_77,2,train/CD1/TIDIGITS/TRAIN/WOMAN/AC/94OOA.WAV.wav,9400
default,train,audio,train_78,1,train/CD1/TIDIGITS/TRAIN/MAN/GJ/1A.WAV.wav,1
default,train,audio,train_79,2,train/CD1/TIDIGITS/TRAIN/MAN/IF/37O84O2A.WAV.wav,3708402
default,train,audio,train_80,1,train/CD1/TIDIGITS/TRAIN/WOMAN/KT/93165A.WAV.wav,93165
default,train,audio,train_81,2,train/CD1/TIDIGITS/TRAIN/WOMAN/NG/6A.WAV.wav,6
default,train,audio,train_82,1,train/CD1/TIDIGITS/TRAIN/MAN/KR/Z88A.WAV.wav,088
default,train,audio,train_83,2,train/CD1/TIDIGITS/TRAIN/WOMAN/RN/635A.WAV.wav,635
default,train,audio,train_84,1,train/CD1/TIDIGITS/TRAIN/WOMAN/LA/688ZA.WAV.wav,6880
default,train,audio,train_85,2,train/CD1/TIDIGITS/TRAIN/MAN/PD/4Z96ZA.WAV.wav,40960
default,train,audio,train_86,1,train/CD1/TIDIGITS/TRAIN/WOMAN/PP/5294457A.WAV.wav,5294457
default,train,audio,train_87,2,train/CD1/TIDIGITS/TRAIN/MAN/CF/84149A.WAV.wav,84149
default,train,audio,train_88,1,train/CD1/TIDIGITS/TRAIN/WOMAN/RS/ZB.WAV.wav,0
default,train,audio,train_89,2,train/CD1/TIDIGITS/TRAIN/WOMAN/CL/96A.WAV.wav,96
default,train,audio,train_90,1,train/CD1/TIDIGITS/TRAIN/WOMAN/SP/5363A.WAV.wav,5363
default,train,audio,train_91,2,train/CD1/TIDIGITS/TRAIN/MAN/JR/5B.WAV.wav,5
default,train,audio,train_92,1,train/CD1/TIDIGITS/TRAIN/MAN/HH/71O3627A.WAV.wav,7103627
default,train,audio,train_93,2,train/CD1/TIDIGITS/TRAIN/MAN/GR/57A.WAV.wav,57
default,train,audio,train_94,1,train/CD1/TIDIGITS/TRAIN/MAN/LT/6625A.WAV.wav,6625
default,train,audio,train_95,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/ZB.WAV.wav,0
default,train,audio,train_96,1,train/CD1/TIDIGITS/TRAIN/MAN/NF/39A.WAV.wav,39
default,train,audio,train_97,2,train/CD1/TIDIGITS/TRAIN/WOMAN/CM/99O6A.WAV.wav,9906
default,train,audio,train_98,1,train/CD1/TIDIGITS/TRAIN/WOMAN/IH/Z777136A.WAV.wav,0777136
default,train,audio,train_99,2,train/CD1/TIDIGITS/TRAIN/MAN/IT/8996864A.WAV.wav,8996864
default,train,audio,train_100,1,train/CD1/TIDIGITS/TRAIN/MAN/NR/9A.WAV.wav,9
default,train,audio,train_101,2,train/CD1/TIDIGITS/TRAIN/WOMAN/EC/ZA.WAV.wav,0
default,train,audio,train_102,1,train/CD1/TIDIGITS/TRAIN/WOMAN/PE/8487A.WAV.wav,8487
default,train,audio,train_103,2,train/CD1/TIDIGITS/TRAIN/MAN/FI/29A.WAV.wav,29
default,train,audio,train_104,1,train/CD1/TIDIGITS/TRAIN/WOMAN/RP/81OA.WAV.wav,810
default,train,audio,train_105,2,train/CD1/TIDIGITS/TRAIN/MAN/GG/OB.WAV.wav,0
default,train,audio,train_106,1,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/2B.WAV.wav,2
default,train,audio,train_107,2,train/CD1/TIDIGITS/TRAIN/WOMAN/EG/7A.WAV.wav,7
default,train,audio,train_108,1,train/CD1/TIDIGITS/TRAIN/WOMAN/KH/453O196A.WAV.wav,4530196
default,train,audio,train_109,2,train/CD1/TIDIGITS/TRAIN/MAN/DL/ZA.WAV.wav,0
default,train,audio,train_110,1,train/CD1/TIDIGITS/TRAIN/MAN/CB/5583A.WAV.wav,5583
default,train,audio,train_111,2,train/CD1/TIDIGITS/TRAIN/WOMAN/RN/4B.WAV.wav,4
default,train,audio,train_112,1,train/CD1/TIDIGITS/TRAIN/MAN/PB/3O41A.WAV.wav,3041
default,train,audio,train_113,2,train/CD1/TIDIGITS/TRAIN/MAN/MR/68524A.WAV.wav,68524
default,train,audio,train_114,1,train/CD1/TIDIGITS/TRAIN/WOMAN/PK/4A.WAV.wav,4
default,train,audio,train_115,2,train/CD1/TIDIGITS/TRAIN/WOMAN/PP/25A.WAV.wav,25
default,train,audio,train_116,1,train/CD1/TIDIGITS/TRAIN/MAN/CF/Z722948A.WAV.wav,0722948
default,train,audio,train_117,2,train/CD1/TIDIGITS/TRAIN/WOMAN/MM/O83OA.WAV.wav,0830
default,train,audio,train_118,1,train/CD1/TIDIGITS/TRAIN/WOMAN/JP/578A.WAV.wav,578
default,train,audio,train_119,2,train/CD1/TIDIGITS/TRAIN/MAN/FI/O6A.WAV.wav,06
default,train,audio,train_120,1,train/CD1/TIDIGITS/TRAIN/MAN/PI/1737A.WAV.wav,1737
default,train,audio,train_121,2,train/CD1/TIDIGITS/TRAIN/MAN/NE/O7A.WAV.wav,07
default,train,audio,train_122,1,train/CD1/TIDIGITS/TRAIN/WOMAN/NH/131A.WAV.wav,131
default,train,audio,train_123,2,train/CD1/TIDIGITS/TRAIN/WOMAN/MS/OB.WAV.wav,0
default,train,audio,train_124,1,train/CD1/TIDIGITS/TRAIN/WOMAN/EG/O26A.WAV.wav,026
default,train,audio,train_125,2,train/CD1/TIDIGITS/TRAIN/MAN/FK/4Z5A.WAV.wav,405
default,train,audio,train_126,1,train/CD1/TIDIGITS/TRAIN/WOMAN/HG/OA.WAV.wav,0
default,train,audio,train_127,2,train/CD1/TIDIGITS/TRAIN/WOMAN/MW/Z1562A.WAV.wav,01562
default,train,audio,train_128,1,train/CD1/TIDIGITS/TRAIN/WOMAN/NC/O698A.WAV.wav,0698
default,train,audio,train_129,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JN/77A.WAV.wav,77
default,train,audio,train_130,1,train/CD1/TIDIGITS/TRAIN/MAN/HL/8B.WAV.wav,8
default,train,audio,train_131,2,train/CD1/TIDIGITS/TRAIN/WOMAN/HP/O894726A.WAV.wav,0894726
default,train,audio,train_132,1,train/CD1/TIDIGITS/TRAIN/MAN/NI/4O5A.WAV.wav,405
default,train,audio,train_133,2,train/CD1/TIDIGITS/TRAIN/WOMAN/EG/8717A.WAV.wav,8717
default,train,audio,train_134,1,train/CD1/TIDIGITS/TRAIN/MAN/GR/62A.WAV.wav,62
default,train,audio,train_135,2,train/CD1/TIDIGITS/TRAIN/MAN/GG/7ZA.WAV.wav,70
default,train,audio,train_136,1,train/CD1/TIDIGITS/TRAIN/WOMAN/KF/4O7O5A.WAV.wav,40705
default,train,audio,train_137,2,train/CD1/TIDIGITS/TRAIN/WOMAN/BI/Z7Z2A.WAV.wav,0702
default,train,audio,train_138,1,train/CD1/TIDIGITS/TRAIN/MAN/PD/6A.WAV.wav,6
default,train,audio,train_139,2,train/CD1/TIDIGITS/TRAIN/MAN/GJ/948Z981A.WAV.wav,9480981
default,train,audio,train_140,1,train/CD1/TIDIGITS/TRAIN/MAN/RF/11367A.WAV.wav,11367
default,train,audio,train_141,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/6B.WAV.wav,6
default,train,audio,train_142,1,train/CD1/TIDIGITS/TRAIN/MAN/EH/6ZZ2A.WAV.wav,6002
default,train,audio,train_143,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JJ/245ZZ85A.WAV.wav,2450085
default,train,audio,train_144,1,train/CD1/TIDIGITS/TRAIN/WOMAN/RN/1241A.WAV.wav,1241
default,train,audio,train_145,2,train/CD1/TIDIGITS/TRAIN/WOMAN/AI/6A.WAV.wav,6
default,train,audio,train_146,1,train/CD1/TIDIGITS/TRAIN/WOMAN/NC/66O5O41A.WAV.wav,6605041
default,train,audio,train_147,2,train/CD1/TIDIGITS/TRAIN/WOMAN/NG/152A.WAV.wav,152
default,train,audio,train_148,1,train/CD1/TIDIGITS/TRAIN/WOMAN/CG/Z2A.WAV.wav,02
default,train,audio,train_149,2,train/CD1/TIDIGITS/TRAIN/WOMAN/JC/6599A.WAV.wav,6599
default,train,audio,train_150,1,train/CD1/TIDIGITS/TRAIN/MAN/KR/3B.WAV.wav,3
default,train,audio,train_151,2,train/CD1/TIDIGITS/TRAIN/WOMAN/EI/OB.WAV.wav,0
default,train,audio,train_152,1,train/CD1/TIDIGITS/TRAIN/WOMAN/KH/74788A.WAV.wav,74788
