mode,group,modality,key,channel,path,label
default,train,audio,train_0,1,train/BR30AG705.wav,30
default,train,audio,train_1,1,train/LS0JJ2450085.wav,0
default,train,audio,train_2,1,train/PI4506047PE8.wav,4506047
default,train,audio,train_3,1,train/NH77MK74595.wav,77
default,train,audio,train_4,1,train/DL96FD8311018.wav,96
default,train,audio,train_5,1,train/CR01JR7.wav,01
default,train,audio,train_6,1,train/LD050BD5.wav,050
default,train,audio,train_7,1,train/IT2EL6106875.wav,2
default,train,audio,train_8,1,train/AI435RA5.wav,435
default,train,audio,train_9,1,train/HG0600015GJ29.wav,0600015
default,train,audio,train_10,1,train/JJ75501BD3645188.wav,75501
default,train,audio,train_11,1,train/NW8LH0010714.wav,8
default,train,audio,train_12,1,train/IE55KN09006.wav,55
default,train,audio,train_13,1,train/DG29HH2972.wav,29
default,train,audio,train_14,1,train/AW498JC0907818.wav,498
default,train,audio,train_15,1,train/DL9FJ6.wav,9
default,train,audio,train_16,1,train/NF230EC819.wav,230
default,train,audio,train_17,1,train/IL61707PD40960.wav,61707
default,train,audio,train_18,1,train/IF178FI6296093.wav,178
default,train,audio,train_19,1,train/JT8RE240.wav,8
default,train,audio,train_20,1,train/RF4020CR96662.wav,4020
default,train,audio,train_21,1,train/JP22BH315.wav,22
default,train,audio,train_22,1,train/FL735EL0.wav,735
default,train,audio,train_23,1,train/AL05PP6.wav,05
default,train,audio,train_24,1,train/JN44ES63.wav,44
default,train,audio,train_25,1,train/NE29MB1.wav,29
default,train,audio,train_26,1,train/EC88728MS46089.wav,88728
default,train,audio,train_27,1,train/NW9801HN1060044.wav,9801
default,train,audio,train_28,1,train/PK9413030HP3.wav,9413030
default,train,audio,train_29,1,train/GR5MS2996911.wav,5
default,train,audio,train_30,1,train/EK0510NH60.wav,0510
default,train,audio,train_31,1,train/RS903LH67.wav,903
default,train,audio,train_32,1,train/RD7960RP4.wav,7960
default,train,audio,train_33,1,train/LH9RA4461084.wav,9
default,train,audio,train_34,1,train/GJ78JC8.wav,78
default,train,audio,train_35,1,train/PE0CR6.wav,0
default,train,audio,train_36,1,train/IT02465MH6907200.wav,02465
default,train,audio,train_37,1,train/NE4900CR32.wav,4900
default,train,audio,train_38,1,train/JC99001AC9400.wav,99001
default,train,audio,train_39,1,train/GJ1IF3708402.wav,1
