mode,group,modality,key,channel,path,label
default,train,feat,train_0,1,0,30
default,train,feat,train_1,1,1,705
default,train,feat,train_2,1,2,0
default,train,feat,train_3,1,3,2450085
default,train,feat,train_4,1,4,4506047
default,train,feat,train_5,1,5,8
default,train,feat,train_6,1,6,77
default,train,feat,train_7,1,7,74595
default,train,feat,train_8,1,8,96
default,train,feat,train_9,1,9,8311018
default,train,feat,train_10,1,10,01
default,train,feat,train_11,1,11,7
default,train,feat,train_12,1,12,050
default,train,feat,train_13,1,13,5
default,train,feat,train_14,1,14,2
default,train,feat,train_15,1,15,6106875
default,train,feat,train_16,1,16,435
default,train,feat,train_17,1,17,5
default,train,feat,train_18,1,18,0600015
default,train,feat,train_19,1,19,29
default,train,feat,train_20,1,20,75501
default,train,feat,train_21,1,21,3645188
default,train,feat,train_22,1,22,8
default,train,feat,train_23,1,23,0010714
default,train,feat,train_24,1,24,55
default,train,feat,train_25,1,25,09006
default,train,feat,train_26,1,26,29
default,train,feat,train_27,1,27,2972
default,train,feat,train_28,1,28,498
default,train,feat,train_29,1,29,0907818
default,train,feat,train_30,1,30,9
default,train,feat,train_31,1,31,6
default,train,feat,train_32,1,32,230
default,train,feat,train_33,1,33,819
default,train,feat,train_34,1,34,61707
default,train,feat,train_35,1,35,40960
default,train,feat,train_36,1,36,178
default,train,feat,train_37,1,37,6296093
default,train,feat,train_38,1,38,8
default,train,feat,train_39,1,39,240
default,train,feat,train_40,1,40,4020
default,train,feat,train_41,1,41,96662
default,train,feat,train_42,1,42,22
default,train,feat,train_43,1,43,315
default,train,feat,train_44,1,44,735
default,train,feat,train_45,1,45,0
default,train,feat,train_46,1,46,05
default,train,feat,train_47,1,47,6
default,train,feat,train_48,1,48,44
default,train,feat,train_49,1,49,63
default,train,feat,train_50,1,50,29
default,train,feat,train_51,1,51,1
default,train,feat,train_52,1,52,88728
default,train,feat,train_53,1,53,46089
default,train,feat,train_54,1,54,9801
default,train,feat,train_55,1,55,1060044
default,train,feat,train_56,1,56,9413030
default,train,feat,train_57,1,57,3
default,train,feat,train_58,1,58,5
default,train,feat,train_59,1,59,2996911
default,train,feat,train_60,1,60,0510
default,train,feat,train_61,1,61,60
default,train,feat,train_62,1,62,903
default,train,feat,train_63,1,63,67
default,train,feat,train_64,1,64,7960
default,train,feat,train_65,1,65,4
default,train,feat,train_66,1,66,9
default,train,feat,train_67,1,67,4461084
default,train,feat,train_68,1,68,78
default,train,feat,train_69,1,69,8
default,train,feat,train_70,1,70,0
default,train,feat,train_71,1,71,6
default,train,feat,train_72,1,72,02465
default,train,feat,train_73,1,73,6907200
default,train,feat,train_74,1,74,4900
default,train,feat,train_75,1,75,32
default,train,feat,train_76,1,76,99001
default,train,feat,train_77,1,77,9400
default,train,feat,train_78,1,78,1
default,train,feat,train_79,1,79,3708402
default,train,feat,train_80,1,80,93165
default,train,feat,train_81,1,81,6
default,train,feat,train_82,1,82,088
default,train,feat,train_83,1,83,635
default,train,feat,train_84,1,84,6880
default,train,feat,train_85,1,85,40960
default,train,feat,train_86,1,86,5294457
default,train,feat,train_87,1,87,84149
default,train,feat,train_88,1,88,0
default,train,feat,train_89,1,89,96
default,train,feat,train_90,1,90,5363
default,train,feat,train_91,1,91,5
default,train,feat,train_92,1,92,7103627
default,train,feat,train_93,1,93,57
default,train,feat,train_94,1,94,6625
default,train,feat,train_95,1,95,0
default,train,feat,train_96,1,96,39
default,train,feat,train_97,1,97,9906
default,train,feat,train_98,1,98,0777136
default,train,feat,train_99,1,99,8996864
default,train,feat,train_100,1,100,9
default,train,feat,train_101,1,101,0
default,train,feat,train_102,1,102,8487
default,train,feat,train_103,1,103,29
default,train,feat,train_104,1,104,810
default,train,feat,train_105,1,105,0
default,train,feat,train_106,1,106,2
default,train,feat,train_107,1,107,7
default,train,feat,train_108,1,108,4530196
default,train,feat,train_109,1,109,0
default,train,feat,train_110,1,110,5583
default,train,feat,train_111,1,111,4
default,train,feat,train_112,1,112,3041
default,train,feat,train_113,1,113,68524
default,train,feat,train_114,1,114,4
default,train,feat,train_115,1,115,25
default,train,feat,train_116,1,116,0722948
default,train,feat,train_117,1,117,0830
default,train,feat,train_118,1,118,578
default,train,feat,train_119,1,119,06
default,train,feat,train_120,1,120,1737
default,train,feat,train_121,1,121,07
default,train,feat,train_122,1,122,131
default,train,feat,train_123,1,123,0
default,train,feat,train_124,1,124,026
default,train,feat,train_125,1,125,405
default,train,feat,train_126,1,126,0
default,train,feat,train_127,1,127,01562
default,train,feat,train_128,1,128,0698
default,train,feat,train_129,1,129,77
default,train,feat,train_130,1,130,8
default,train,feat,train_131,1,131,0894726
default,train,feat,train_132,1,132,405
default,train,feat,train_133,1,133,8717
default,train,feat,train_134,1,134,62
default,train,feat,train_135,1,135,70
default,train,feat,train_136,1,136,40705
default,train,feat,train_137,1,137,0702
default,train,feat,train_138,1,138,6
default,train,feat,train_139,1,139,9480981
default,train,feat,train_140,1,140,11367
default,train,feat,train_141,1,141,6
default,train,feat,train_142,1,142,6002
default,train,feat,train_143,1,143,2450085
default,train,feat,train_144,1,144,1241
default,train,feat,train_145,1,145,6
default,train,feat,train_146,1,146,6605041
default,train,feat,train_147,1,147,152
default,train,feat,train_148,1,148,02
default,train,feat,train_149,1,149,6599
default,train,feat,train_150,1,150,3
default,train,feat,train_151,1,151,0
default,train,feat,train_152,1,152,74788
default,train,feat,train_153,1,153,1
default,train,feat,train_154,1,154,5077
default,train,feat,train_155,1,155,4191
default,train,feat,train_156,1,156,3410
default,train,feat,train_157,1,157,09
default,train,feat,train_158,1,158,31
default,train,feat,train_159,1,159,2
default,train,feat,train_160,1,160,8
default,train,feat,train_161,1,161,74898
default,train,feat,train_162,1,162,2661
default,train,feat,train_163,1,163,0
default,train,feat,train_164,1,164,5
default,train,feat,train_165,1,165,0044
default,train,feat,train_166,1,166,0
default,train,feat,train_167,1,167,46682
default,train,feat,train_168,1,168,7
default,train,feat,train_169,1,169,1
default,train,feat,train_170,1,170,01562
default,train,feat,train_171,1,171,03005
default,train,feat,train_172,1,172,8
default,train,feat,train_173,1,173,4192100
default,train,feat,train_174,1,174,862
default,train,feat,train_175,1,175,3
default,train,feat,train_176,1,176,686
default,train,feat,train_177,1,177,2836
default,train,feat,train_178,1,178,76958
default,train,feat,train_179,1,179,3894484
default,train,feat,train_180,1,180,95
default,train,feat,train_181,1,181,26030
default,train,feat,train_182,1,182,20588
default,train,feat,train_183,1,183,450
default,train,feat,train_184,1,184,443
default,train,feat,train_185,1,185,8190042
default,train,feat,train_186,1,186,30259
default,train,feat,train_187,1,187,5
default,train,feat,train_188,1,188,00
default,train,feat,train_189,1,189,1
default,train,feat,train_190,1,190,3600
default,train,feat,train_191,1,191,0795
default,train,feat,train_192,1,192,0160
default,train,feat,train_193,1,193,01460
default,train,feat,train_194,1,194,2931
default,train,feat,train_195,1,195,9783
default,train,feat,train_196,1,196,88942
default,train,feat,train_197,1,197,77700
default,train,feat,train_198,1,198,8
default,train,feat,train_199,1,199,8
default,train,feat,train_200,1,200,0461400
default,train,feat,train_201,1,201,6060
default,train,feat,train_202,1,202,2860
default,train,feat,train_203,1,203,0
default,train,feat,train_204,1,204,6
default,train,feat,train_205,1,205,0
default,train,feat,train_206,1,206,5020
default,train,feat,train_207,1,207,34
default,train,feat,train_208,1,208,96846
default,train,feat,train_209,1,209,82107
default,train,feat,train_210,1,210,41672
default,train,feat,train_211,1,211,2
default,train,feat,train_212,1,212,5596
default,train,feat,train_213,1,213,7
default,train,feat,train_214,1,214,74880
default,train,feat,train_215,1,215,0
default,train,feat,train_216,1,216,4006432
default,train,feat,train_217,1,217,3
default,train,feat,train_218,1,218,8078335
default,train,feat,train_219,1,219,6
default,train,feat,train_220,1,220,0206605
default,train,feat,train_221,1,221,380
default,train,feat,train_222,1,222,2
default,train,feat,train_223,1,223,53
default,train,feat,train_224,1,224,35023
default,train,feat,train_225,1,225,535
default,train,feat,train_226,1,226,5
default,train,feat,train_227,1,227,450
default,train,feat,train_228,1,228,2
default,train,feat,train_229,1,229,5
default,train,feat,train_230,1,230,1334908
default,train,feat,train_231,1,231,3
default,train,feat,train_232,1,232,6
default,train,feat,train_233,1,233,20
default,train,feat,train_234,1,234,5
default,train,feat,train_235,1,235,1
default,train,feat,train_236,1,236,0
default,train,feat,train_237,1,237,2
default,train,feat,train_238,1,238,8643849
default,train,feat,train_239,1,239,6989642
default,train,feat,train_240,1,240,850
default,train,feat,train_241,1,241,3730
default,train,feat,train_242,1,242,5110458
default,train,feat,train_243,1,243,5
default,train,feat,train_244,1,244,71996
default,train,feat,train_245,1,245,6
default,train,feat,train_246,1,246,76629
default,train,feat,train_247,1,247,6
default,train,feat,train_248,1,248,9
default,train,feat,train_249,1,249,5549962
default,train,feat,train_250,1,250,0774
default,train,feat,train_251,1,251,2
default,train,feat,train_252,1,252,4887
default,train,feat,train_253,1,253,2701
default,train,feat,train_254,1,254,0
default,train,feat,train_255,1,255,5278
default,train,feat,train_256,1,256,7
default,train,feat,train_257,1,257,60
default,train,feat,train_258,1,258,3
default,train,feat,train_259,1,259,4
default,train,feat,train_260,1,260,3104
default,train,feat,train_261,1,261,7810530
default,train,feat,train_262,1,262,1
default,train,feat,train_263,1,263,10975
default,train,feat,train_264,1,264,2
default,train,feat,train_265,1,265,0
default,train,feat,train_266,1,266,08837
default,train,feat,train_267,1,267,21
default,train,feat,train_268,1,268,1
default,train,feat,train_269,1,269,0906531
default,train,feat,train_270,1,270,0811
default,train,feat,train_271,1,271,8
default,train,feat,train_272,1,272,2
default,train,feat,train_273,1,273,2
default,train,feat,train_274,1,274,04
default,train,feat,train_275,1,275,906
default,train,feat,train_276,1,276,906
default,train,feat,train_277,1,277,8059
default,train,feat,train_278,1,278,00
default,train,feat,train_279,1,279,1986
default,train,feat,train_280,1,280,0870030
default,train,feat,train_281,1,281,46131
default,train,feat,train_282,1,282,574
default,train,feat,train_283,1,283,90060
default,train,feat,train_284,1,284,76169
default,train,feat,train_285,1,285,9276
default,train,feat,train_286,1,286,517
default,train,feat,train_287,1,287,7550
default,train,feat,train_288,1,288,60153
default,train,feat,train_289,1,289,900
default,train,feat,train_290,1,290,7
default,train,feat,train_291,1,291,22
default,train,feat,train_292,1,292,27910
default,train,feat,train_293,1,293,9014798
default,train,feat,train_294,1,294,7
default,train,feat,train_295,1,295,1
default,train,feat,train_296,1,296,03
default,train,feat,train_297,1,297,30661
default,train,feat,train_298,1,298,16472
default,train,feat,train_299,1,299,1
default,train,feat,train_300,1,300,2
default,train,feat,train_301,1,301,6683472
default,train,feat,train_302,1,302,5
default,train,feat,train_303,1,303,428
default,train,feat,train_304,1,304,085
default,train,feat,train_305,1,305,83628
default,train,feat,train_306,1,306,93
default,train,feat,train_307,1,307,457
default,train,feat,train_308,1,308,9233608
default,train,feat,train_309,1,309,12900
default,train,feat,train_310,1,310,5028056
default,train,feat,train_311,1,311,0
default,train,feat,train_312,1,312,10486
default,train,feat,train_313,1,313,3676809
default,train,feat,train_314,1,314,59
default,train,feat,train_315,1,315,69363
default,train,feat,train_316,1,316,1269605
default,train,feat,train_317,1,317,91
default,train,feat,train_318,1,318,50204
default,train,feat,train_319,1,319,57
default,train,feat,train_320,1,320,61965
default,train,feat,train_321,1,321,4
default,train,feat,train_322,1,322,0685
default,train,feat,train_323,1,323,58283
default,train,feat,train_324,1,324,4237452
default,train,feat,train_325,1,325,9080
default,train,feat,train_326,1,326,6
default,train,feat,train_327,1,327,244
default,train,feat,train_328,1,328,080
default,train,feat,train_329,1,329,553
default,train,feat,train_330,1,330,935
default,train,feat,train_331,1,331,5
default,train,feat,train_332,1,332,00
default,train,feat,train_333,1,333,6010063
default,train,feat,train_334,1,334,7
default,train,feat,train_335,1,335,0864
default,train,feat,train_336,1,336,3
default,train,feat,train_337,1,337,0301084
default,train,feat,train_338,1,338,6093046
default,train,feat,train_339,1,339,6088
